FIPS,County,Year,Population,Primary Point
19031,Cedar County,July 01 1998,18102,POINT (-91.1324125 41.7723207)
19153,Polk County,July 01 2019,490161,POINT (-93.5735335 41.6855048)
19157,Poweshiek County,July 01 1999,18814,POINT (-92.53146840000001 41.6864422)
19193,Woodbury County,July 01 2009,102831,POINT (-96.0447673 42.3897169)
19141,O'Brien County,July 01 2012,14156,POINT (-95.6248784 43.0837527)
19075,Grundy County,July 01 1991,12017,POINT (-92.7914177 42.4018651)
19107,Keokuk County,July 01 2003,11194,POINT (-92.1786426 41.336465)
19195,Worth County,July 01 2016,7471,POINT (-93.2608476 43.3773984)
19155,Pottawattamie County,July 01 1994,83643,POINT (-95.5423935 41.3366123)
19007,Appanoose County,July 01 2017,12353,POINT (-92.8686104 40.7431635)
19069,Franklin County,April 01 2010,10680,POINT (-93.262473 42.7325458)
19001,Adair County,July 01 1995,8380,POINT (-94.4709413 41.3307464)
19173,Taylor County,July 01 1998,7016,POINT (-94.6964148 40.73743240000001)
19087,Henry County,July 01 2003,20105,POINT (-91.5445241 40.9879383)
19121,Madison County,July 01 1995,12949,POINT (-94.01556190000001 41.33071420000001)
19045,Clinton County,July 01 1999,50553,POINT (-90.5319724 41.8980358)
19013,Black Hawk County,April 01 1990,123798,POINT (-92.3088197 42.4700957)
19041,Clay County,July 01 2011,16597,POINT (-95.1509194 43.0825804)
19011,Benton County,July 01 2013,25699,POINT (-92.0656912 42.0801864)
19025,Calhoun County,July 01 1997,11426,POINT (-94.6404136 42.385184800000005)
19159,Ringgold County,July 01 2001,5389,POINT (-94.2439719 40.7352023)
19071,Fremont County,July 01 2011,7371,POINT (-95.6046765 40.7455892)
19131,Mitchell County,July 01 2018,10571,POINT (-92.7890315 43.3564124)
19115,Louisa County,July 01 1992,11644,POINT (-91.2596184 41.2185073)
19037,Chickasaw County,July 01 2009,12017,POINT (-92.3176637 43.06004140000001)
19127,Marshall County,July 01 1999,39238,POINT (-92.9987706 42.0358499)
19087,Henry County,July 01 2008,20067,POINT (-91.5445241 40.9879383)
19045,Clinton County,April 01 1990,51040,POINT (-90.5319724 41.8980358)
19065,Fayette County,July 01 2005,20939,POINT (-91.8443207 42.8625919)
19051,Davis County,July 01 2001,8571,POINT (-92.4097173 40.7476891)
19009,Audubon County,July 01 2014,5771,POINT (-94.9058222 41.6845893)
19197,Wright County,July 01 2001,14055,POINT (-93.7351465 42.7331189)
19179,Wapello County,July 01 2003,35716,POINT (-92.4094499 41.03058450000001)
19165,Shelby County,July 01 2018,11559,POINT (-95.31021130000002 41.6850926)
19153,Polk County,July 01 2003,390092,POINT (-93.5735335 41.6855048)
19061,Dubuque County,July 01 2004,90618,POINT (-90.8824564 42.468832)
19169,Story County,July 01 2002,81612,POINT (-93.4650448 42.0362415)
19027,Carroll County,July 01 1999,21703,POINT (-94.8605593 42.0362382)
19067,Floyd County,July 01 2007,16224,POINT (-92.78900330000002 43.0599208)
19131,Mitchell County,July 01 1995,10974,POINT (-92.7890315 43.3564124)
19021,Buena Vista County,July 01 1992,20076,POINT (-95.15114900000002 42.7354936)
19059,Dickinson County,July 01 2007,16586,POINT (-95.1508301 43.3779848)
19143,Osceola County,July 01 2007,6444,POINT (-95.6236852 43.3785704)
19105,Jones County,July 01 1991,19480,POINT (-91.1314352 42.1212397)
19087,Henry County,July 01 1991,19296,POINT (-91.5445241 40.9879383)
19117,Lucas County,July 01 2003,9473,POINT (-93.3277207 41.0293738)
19149,Plymouth County,July 01 1996,24339,POINT (-96.2140431 42.7378346)
19149,Plymouth County,July 01 2007,24303,POINT (-96.2140431 42.7378346)
19001,Adair County,April 01 2000,8243,POINT (-94.4709413 41.3307464)
19035,Cherokee County,July 01 2012,11951,POINT (-95.6238055 42.7356226)
19171,Tama County,July 01 1995,17906,POINT (-92.5325425 42.07981170000001)
19107,Keokuk County,July 01 2008,10655,POINT (-92.1786426 41.336465)
19179,Wapello County,July 01 1998,35980,POINT (-92.4094499 41.03058450000001)
19143,Osceola County,July 01 1996,7138,POINT (-95.6236852 43.3785704)
19167,Sioux County,July 01 2001,31742,POINT (-96.1778827 43.0826174)
19161,Sac County,July 01 1998,11882,POINT (-95.1053946 42.3862604)
19039,Clarke County,July 01 1995,8429,POINT (-93.78515790000002 41.0290323)
19039,Clarke County,July 01 1994,8549,POINT (-93.78515790000002 41.0290323)
19005,Allamakee County,July 01 2006,14442,POINT (-91.3780923 43.2842838)
19165,Shelby County,July 01 2005,12408,POINT (-95.31021130000002 41.6850926)
19113,Linn County,July 01 2007,205283,POINT (-91.5989646 42.0789478)
19067,Floyd County,July 01 2016,15857,POINT (-92.78900330000002 43.0599208)
19027,Carroll County,July 01 2017,20274,POINT (-94.8605593 42.0362382)
19175,Union County,July 01 2006,11990,POINT (-94.2423792 41.0277304)
19131,Mitchell County,April 01 2000,10872,POINT (-92.7890315 43.3564124)
19053,Decatur County,July 01 2003,8469,POINT (-93.7862815 40.7376827)
19111,Lee County,April 01 2010,35862,POINT (-91.479264 40.6419764)
19055,Delaware County,April 01 2000,18404,POINT (-91.3673502 42.471211)
19015,Boone County,July 01 1992,25335,POINT (-93.931671 42.0365493)
19135,Monroe County,July 01 2017,7798,POINT (-92.8689877 41.0297826)
19095,Iowa County,July 01 2019,16184,POINT (-92.065524 41.6863229)
19173,Taylor County,July 01 2005,6522,POINT (-94.6964148 40.73743240000001)
19187,Webster County,July 01 1997,39461,POINT (-94.18178810000002 42.4279662)
19051,Davis County,April 01 1990,8312,POINT (-92.4097173 40.7476891)
19013,Black Hawk County,July 01 2012,131878,POINT (-92.3088197 42.4700957)
19117,Lucas County,July 01 1994,9181,POINT (-93.3277207 41.0293738)
19039,Clarke County,April 01 2010,9286,POINT (-93.78515790000002 41.0290323)
19079,Hamilton County,July 01 2007,15538,POINT (-93.7068085 42.3837722)
19079,Hamilton County,July 01 2013,15343,POINT (-93.7068085 42.3837722)
19071,Fremont County,July 01 2005,7553,POINT (-95.6046765 40.7455892)
19145,Page County,July 01 2014,15483,POINT (-95.1501747 40.7391444)
19125,Marion County,July 01 2019,33253,POINT (-93.0994367 41.3344515)
19127,Marshall County,July 01 2005,39020,POINT (-92.9987706 42.0358499)
19125,Marion County,July 01 2011,33270,POINT (-93.0994367 41.3344515)
19117,Lucas County,July 01 2014,8636,POINT (-93.3277207 41.0293738)
19187,Webster County,July 01 2002,39672,POINT (-94.18178810000002 42.4279662)
19079,Hamilton County,July 01 2017,15032,POINT (-93.7068085 42.3837722)
19047,Crawford County,July 01 2002,16847,POINT (-95.3819678 42.0372125)
19123,Mahaska County,July 01 2003,22021,POINT (-92.6409094 41.3352035)
19081,Hancock County,July 01 2004,11670,POINT (-93.7342723 43.0818861)
19133,Monona County,July 01 1997,10069,POINT (-95.9599235 42.0516663)
19003,Adams County,July 01 2015,3754,POINT (-94.6991849 41.02898390000001)
19107,Keokuk County,July 01 2016,10170,POINT (-92.1786426 41.336465)
19179,Wapello County,July 01 2011,35486,POINT (-92.4094499 41.03058450000001)
19127,Marshall County,April 01 1990,38276,POINT (-92.9987706 42.0358499)
19069,Franklin County,July 01 2008,10567,POINT (-93.262473 42.7325458)
19191,Winneshiek County,July 01 2009,20629,POINT (-91.8437074 43.2906746)
19017,Bremer County,April 01 2010,24276,POINT (-92.31805480000001 42.7745873)
19167,Sioux County,July 01 2014,34635,POINT (-96.1778827 43.0826174)
19177,Van Buren County,July 01 1991,7683,POINT (-91.9499871 40.7532294)
19135,Monroe County,July 01 1992,8169,POINT (-92.8689877 41.0297826)
19075,Grundy County,July 01 1997,12317,POINT (-92.7914177 42.4018651)
19091,Humboldt County,July 01 2003,10014,POINT (-94.2071868 42.7764686)
19165,Shelby County,April 01 1990,13230,POINT (-95.31021130000002 41.6850926)
19013,Black Hawk County,July 01 2016,133077,POINT (-92.3088197 42.4700957)
19061,Dubuque County,July 01 2019,97311,POINT (-90.8824564 42.468832)
19095,Iowa County,July 01 1995,14927,POINT (-92.065524 41.6863229)
19107,Keokuk County,July 01 1993,11592,POINT (-92.1786426 41.336465)
19195,Worth County,July 01 2004,7708,POINT (-93.2608476 43.3773984)
19145,Page County,July 01 2018,15229,POINT (-95.1501747 40.7391444)
19035,Cherokee County,April 01 1990,14098,POINT (-95.6238055 42.7356226)
19125,Marion County,April 01 2010,33309,POINT (-93.0994367 41.3344515)
19053,Decatur County,July 01 2008,8201,POINT (-93.7862815 40.7376827)
19135,Monroe County,July 01 2004,7784,POINT (-92.8689877 41.0297826)
19015,Boone County,July 01 2003,26123,POINT (-93.931671 42.0365493)
19135,Monroe County,July 01 2011,8060,POINT (-92.8689877 41.0297826)
19151,Pocahontas County,July 01 1997,8970,POINT (-94.67874660000001 42.73413510000001)
19123,Mahaska County,July 01 1992,21516,POINT (-92.6409094 41.3352035)
19093,Ida County,April 01 2000,7840,POINT (-95.5134962 42.3868747)
19167,Sioux County,July 01 2013,34503,POINT (-96.1778827 43.0826174)
19145,Page County,July 01 2008,15527,POINT (-95.1501747 40.7391444)
19067,Floyd County,April 01 2000,16900,POINT (-92.78900330000002 43.0599208)
19003,Adams County,July 01 2016,3692,POINT (-94.6991849 41.02898390000001)
19083,Hardin County,July 01 1999,18912,POINT (-93.2404025 42.3838803)
19017,Bremer County,July 01 2004,23369,POINT (-92.31805480000001 42.7745873)
19109,Kossuth County,July 01 2005,15956,POINT (-94.2067199 43.20413)
19041,Clay County,July 01 1994,17700,POINT (-95.1509194 43.0825804)
19119,Lyon County,July 01 2006,11332,POINT (-96.2102924 43.380497)
19175,Union County,July 01 1996,12325,POINT (-94.2423792 41.0277304)
19089,Howard County,July 01 2008,9436,POINT (-92.3171989 43.3567673)
19019,Buchanan County,July 01 1995,21230,POINT (-91.8378392 42.4707777)
19183,Washington County,July 01 2005,21037,POINT (-91.7178676 41.335591)
19077,Guthrie County,July 01 2012,10762,POINT (-94.501055 41.6837548)
19143,Osceola County,July 01 2013,6236,POINT (-95.6236852 43.3785704)
19101,Jefferson County,July 01 1991,16313,POINT (-91.9488774 41.0317596)
19101,Jefferson County,July 01 2017,18219,POINT (-91.9488774 41.0317596)
19133,Monona County,April 01 2010,9243,POINT (-95.9599235 42.0516663)
19113,Linn County,July 01 2014,218129,POINT (-91.5989646 42.0789478)
19191,Winneshiek County,July 01 2004,20894,POINT (-91.8437074 43.2906746)
19033,Cerro Gordo County,July 01 2015,42983,POINT (-93.2608184 43.081557700000005)
19125,Marion County,July 01 1993,30276,POINT (-93.0994367 41.3344515)
19113,Linn County,July 01 1997,183167,POINT (-91.5989646 42.0789478)
19181,Warren County,July 01 2017,50078,POINT (-93.5613594 41.3343735)
19147,Palo Alto County,July 01 2015,9140,POINT (-94.6781371 43.0820643)
19179,Wapello County,July 01 1992,35817,POINT (-92.4094499 41.03058450000001)
19005,Allamakee County,July 01 1992,13996,POINT (-91.3780923 43.2842838)
19099,Jasper County,July 01 2012,36574,POINT (-93.053765 41.6860394)
19139,Muscatine County,July 01 2001,41792,POINT (-91.1127562 41.4839221)
19157,Poweshiek County,July 01 2006,18615,POINT (-92.53146840000001 41.6864422)
19079,Hamilton County,July 01 1992,16098,POINT (-93.7068085 42.3837722)
19145,Page County,July 01 1991,16874,POINT (-95.1501747 40.7391444)
19071,Fremont County,July 01 1999,7993,POINT (-95.6046765 40.7455892)
19081,Hancock County,April 01 2010,11341,POINT (-93.7342723 43.0818861)
19085,Harrison County,July 01 1991,14734,POINT (-95.8169209 41.6828528)
19041,Clay County,July 01 2007,16629,POINT (-95.1509194 43.0825804)
19003,Adams County,July 01 1994,4634,POINT (-94.6991849 41.02898390000001)
19097,Jackson County,July 01 2003,20098,POINT (-90.5742294 42.1717426)
19089,Howard County,July 01 1995,9944,POINT (-92.3171989 43.3567673)
19105,Jones County,July 01 1996,20521,POINT (-91.1314352 42.1212397)
19029,Cass County,July 01 1998,14886,POINT (-94.9278266 41.3314876)
19161,Sac County,July 01 2003,10848,POINT (-95.1053946 42.3862604)
19061,Dubuque County,April 01 2010,93653,POINT (-90.8824564 42.468832)
19193,Woodbury County,July 01 2005,101211,POINT (-96.0447673 42.3897169)
19165,Shelby County,April 01 2000,13074,POINT (-95.31021130000002 41.6850926)
19165,Shelby County,July 01 1995,13278,POINT (-95.31021130000002 41.6850926)
19193,Woodbury County,July 01 1991,98506,POINT (-96.0447673 42.3897169)
19031,Cedar County,July 01 2019,18627,POINT (-91.1324125 41.7723207)
19135,Monroe County,July 01 2009,7549,POINT (-92.8689877 41.0297826)
19161,Sac County,July 01 1991,12311,POINT (-95.1053946 42.3862604)
19139,Muscatine County,July 01 1996,41440,POINT (-91.1127562 41.4839221)
19031,Cedar County,July 01 1991,17447,POINT (-91.1324125 41.7723207)
19007,Appanoose County,July 01 2011,12848,POINT (-92.8686104 40.7431635)
19173,Taylor County,July 01 1994,7024,POINT (-94.6964148 40.73743240000001)
19147,Palo Alto County,July 01 2005,9569,POINT (-94.6781371 43.0820643)
19033,Cerro Gordo County,April 01 1990,46733,POINT (-93.2608184 43.081557700000005)
19189,Winnebago County,July 01 2011,10696,POINT (-93.7341955 43.37756780000001)
19057,Des Moines County,July 01 1995,43112,POINT (-91.1814707 40.9231829)
19137,Montgomery County,July 01 1996,11947,POINT (-95.1563758 41.03014)
19083,Hardin County,July 01 2015,17253,POINT (-93.2404025 42.3838803)
19049,Dallas County,July 01 2014,77739,POINT (-94.0397374 41.6848862)
19175,Union County,April 01 2010,12534,POINT (-94.2423792 41.0277304)
19107,Keokuk County,July 01 2018,10213,POINT (-92.1786426 41.336465)
19153,Polk County,July 01 1999,365086,POINT (-93.5735335 41.6855048)
19197,Wright County,July 01 1997,14662,POINT (-93.7351465 42.7331189)
19095,Iowa County,July 01 2018,16155,POINT (-92.065524 41.6863229)
19043,Clayton County,July 01 2006,17779,POINT (-91.34143280000002 42.8447493)
19181,Warren County,July 01 1993,37150,POINT (-93.5613594 41.3343735)
19115,Louisa County,July 01 2011,11381,POINT (-91.2596184 41.2185073)
19003,Adams County,July 01 2007,4099,POINT (-94.6991849 41.02898390000001)
19191,Winneshiek County,July 01 1994,21113,POINT (-91.8437074 43.2906746)
19151,Pocahontas County,July 01 2008,7479,POINT (-94.67874660000001 42.73413510000001)
19127,Marshall County,July 01 1995,38526,POINT (-92.9987706 42.0358499)
19171,Tama County,July 01 1993,17513,POINT (-92.5325425 42.07981170000001)
19113,Linn County,July 01 2015,220271,POINT (-91.5989646 42.0789478)
19059,Dickinson County,July 01 2014,16840,POINT (-95.1508301 43.3779848)
19123,Mahaska County,July 01 1998,22126,POINT (-92.6409094 41.3352035)
19163,Scott County,July 01 1993,154912,POINT (-90.6232428 41.6370978)
19149,Plymouth County,July 01 1992,23470,POINT (-96.2140431 42.7378346)
19003,Adams County,July 01 1995,4616,POINT (-94.6991849 41.02898390000001)
19125,Marion County,July 01 2004,32256,POINT (-93.0994367 41.3344515)
19195,Worth County,July 01 2018,7413,POINT (-93.2608476 43.3773984)
19189,Winnebago County,July 01 1997,11829,POINT (-93.7341955 43.37756780000001)
19065,Fayette County,July 01 2001,21674,POINT (-91.8443207 42.8625919)
19173,Taylor County,July 01 2019,6121,POINT (-94.6964148 40.73743240000001)
19025,Calhoun County,July 01 2007,9951,POINT (-94.6404136 42.385184800000005)
19161,Sac County,July 01 2016,9816,POINT (-95.1053946 42.3862604)
19039,Clarke County,July 01 1999,8841,POINT (-93.78515790000002 41.0290323)
19163,Scott County,July 01 1998,157228,POINT (-90.6232428 41.6370978)
19005,Allamakee County,July 01 2002,14309,POINT (-91.3780923 43.2842838)
19105,Jones County,July 01 2005,20303,POINT (-91.1314352 42.1212397)
19141,O'Brien County,July 01 1999,15457,POINT (-95.6248784 43.0837527)
19073,Greene County,July 01 1994,10280,POINT (-94.3968356 42.0362394)
19129,Mills County,July 01 1997,13819,POINT (-95.62132670000001 41.0334523)
19001,Adair County,July 01 2004,7847,POINT (-94.4709413 41.3307464)
19171,Tama County,July 01 1999,18070,POINT (-92.5325425 42.07981170000001)
19059,Dickinson County,July 01 2016,17109,POINT (-95.1508301 43.3779848)
19103,Johnson County,July 01 2013,140151,POINT (-91.5880849 41.6715511)
19091,Humboldt County,July 01 2019,9558,POINT (-94.2071868 42.7764686)
19057,Des Moines County,April 01 2000,42351,POINT (-91.1814707 40.9231829)
19179,Wapello County,July 01 2002,35803,POINT (-92.4094499 41.03058450000001)
